Unnamed: 0,AREA,Código HAC,Denominación,Tipo equipo,VOSOA,Unnamed: 6,RUTI,Unnamed: 8,COR,Unnamed: 10,ACEITE,Unnamed: 12,VIB,Unnamed: 14,TERMO,Unnamed: 16,DES,Unnamed: 18,DUREZA,Unnamed: 20,EMD,Unnamed: 22,VT / LP,Unnamed: 24,PM,Unnamed: 26,UT,Unnamed: 28,ESPESOR,Unnamed: 30,Comentarios,Fecha intervención y alcance,_computed_score,_computed_matches
,200,CS.211-TP1,ALIMENTADOR DE CELDAS TODO-UNO,TP,,"HECHO: El transportador está rozando con la caída del alimentador vibratorio, y lo está fisurando. Hay que hacer una reparación urgente y valorar si necesita una reparación de más envergadura. Se han reparado las fisuras más importantes. Se está evaluando una reparación mayor",,"Hay que hacer un overhaul del transportador en 2025. Hay muchas placas en mal estado
- HECHO: Hay 3 placas rotas y 3 dobladas. Se piden 6 uds, si las dobladas no tienen reparación se sustituyen, si tienen reparación se reparan y se quedan 3 uds en almacén
- Hacer seguimiento al desgaste del piñón corona. Hay un diente del piñón con mucho desgaste
- HECHO: Cambiar los tacos del acoplamiento entre reductor y accionamiento. Tienen mucho desgaste.",,,,,,,,,,,,,,,,,,,,,,,"Principal problema: Mayoria de placas en mal estado, dobladas, no se conocen pérdidas de espesor ni perforaciones, valorar enderezado y reutilización. Ver estado cadena y sectores. Planificar Revisión Ruedas, Sectores y Cadena.

Ver interferencias: 211-DP1 + 211-TS1 y 211-TP1. (TP1 finales 24) (TS1 y DP1 en Paro HR 2025)",,20.0,PERFORACIONES:20.0
,200,CS.211-DP1,DOSIFICADOR DE PLACAS DE ARCILLA,DP,,,,"- Pendiente sustitución cadena. 
- Sustituir tacos de acoplamiento del accionamiento del transportador 211-DP1. Son los que van del reductor al transportador (FR-13), código 30207381
- HECHO: Hay que cambiar tres placas de blindaje Lado MT por desgaste (7,15 y 16)
- HECHO: Sustituir placas blindaje caída a transportador según aviso 12257455
- HECHO: Revisar todos los segger del transportador",,,,,,,,,,Reemplazar cadena. Casquillos en alarma de reemplazo (43mm). Algunos en mal estado. ,,,,,,,,,,,,,"Planificada sustitución cadena en 2025, Pendiente sustitución tacos acoplamiento. ",,0.0,
,200,CS.211-DP2,DOSIFICADOR DE PLACAS DE MARGA,DP,,"HECHO: Hay que realizar los siguientes trabajos en el transportador 211-DP2:
- Sustitución completa de la cadena de doble ramal
- Sustitución de las ruedas tensoras y motrices del alimentador de celdas
- Sustitución completa de la CN 100 y el cuadradillo de 40x40 de la parte inferior del transportador (a ambos lados)
- Comprobar nivelación y paralelismo entre el eje tensor y motriz
- Sustitución de rodillos superiores guía y patines de deslizamiento placas.",,"- Hay que cambiar tres placas de blindaje Lado PL por desgaste (7,8 y 9)
- Sustituir tacos de acoplamiento del accionamiento del transportador 211-DP2. Son los que van del reductor al transportador (FR-13), código 30207381
- HECHO: Sustituir placas blindaje caída a transportador según aviso 12257455
- HECHO: Revisar todos los segger del transportador- Cambiar los tacos del acoplamiento entre reductor y accionamiento. Tienen mucho desgaste
- Hacer seguimiento al desgaste del piñon-corona. Los dientes del piñón tienen mucho desgaste
- Cambiar cadena y sectores rascador 211-RD2
- HECHO: Sustituir placas blindaje caída a transportador según aviso 12257453",,,,,,,,,,"HECHO:Reemplazar cadena. Aunque los casquillos tienen poco desgaste (en torno a 48-49mm), este tiene forma cónica, y ya sea por este desgaste o por la desalineación entre sectores motrices y tensores, estamos teniendo averías casi semanales en el 211-DP2. O se parte un eslabón, o se salen segger. Valorar el reemplazo de esta cadena incluso antes que la del 211-DP1",,,,,,,,,,,,,Pendiente sustitución tacos acoplamiento y 3 placas.,Parada 23SDK1S1 (agosto),0.0,
,200,CS.211-TS1,TRITURADORA DE MARTILLOS,TS,,,,,,,,,,,,,,"- Hay que recargar el yunque, los discos y los nervios lado montaña y lado playa",,,,,,,,,,,,,"Martillos con desgaste medio, Martillos Lado Playa con mayor desgaste, ambas filas volteables. Revisar última inspección Mayo/24 y definir alcance trabajos Parada 2025.",,0.0,
,200,CS.251-EC1,ELEVADOR DE CANGILONES TOMAMUESTRAS,EC,,Perforación cajón elevador cota 0. (Aviso 24/05/24),,HECHO: Hay que cambiar un cangilón del elevador 251-EC1. Está en muy mal estado,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,200,CS.291-BT3,CINTA ASCENDENTE A PREHOMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desgaste laterales banda, desgaste en recubrimiento tambores y desgaste en tambor contrapeso. Pendiente reportar aviso para cambio de banda.",,0.0,
,300,CS.311-BT1,CINTA EVACUACION DE PREHOMO,,,Perforaciones bajante.,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,PERFORACIONES:20.0;BAJA:1.0
,300,CS.311-BT2,CINTA ALIMENTACIÓN TOLVAS DE CRUDO,BT,,"- Fuga de aceite por el eje de salida del reductor. Cambiar retenes y revisar rodamientos
- Reparar guarderas cola banda.",,,,,,,,Revisar rodamientos motor. Peakvue alto,,,,,,,,,,,,,,,,,,,0.0,
,300,CS.311-RC1,CADENA EVACUACION PUENTE RASCADOR,RC,,"- HECHO: La polea de la contrapesa del rastrillo esta muy gastada. De las dos de abajo, es la del lado opuesto a la tolva octogonal.
- HECHO: Se han cambiado 32m de cadena al estar muy desgastada y partirse en dos ocasiones eslabones de la cadena (lado Montón)",,"- Se hace aviso para cambiar la cadena del lado montón por la cadena del lado opuesto al montón. Hacerlo a finales de año
- HECHO: Hay que cambiar algunos eslabones de la cadena que presentan elevado desgaste. Hay que darle un repaso a la cadena y a los patines de desgaste. Hay varias uniones reviradas
- HECHO: Hay que cambiar 6m de viga guía de las contrapesas del rastrillo. Tambor tensor fisurado.",,,,,,,,,,"HECHO: Hay que cambiar los sectores motrices por desgaste
HECHO: Se cambian los sectores motrices de la cadena
HECHO: Cadena Rascador cerca del límite de reemplazo. - Reemplazar en paro 22SDK1B1:
- Cadena
- Sectores motrices
- Guías superiores e inferiores 
- Enderezar palas dobladas",,,,,,,,,,,,,,,0.0,
,300,CS.331-TP1,ALIMENTADOR DE PLACAS PARA MEZCLA,TP,,"- El transportador tiene varias ruedas gripadas.
- HECHO:  Además, tiene las guarderas con varias perforaciones y muy desgastadas. Y la chapa donde van las agujas tiene también varias perforaciones. Hay que realizar estas reparaciones, ya que cae mucho material a las ruedas, y se van a seguir gripando.
- HECHO. Eje partido en el transportador de mezcla. Lado CS",,,,,,,,,,,,,,,,,,,,,,,,,Revisar perforaciones en caída de material y ruedas gripadas. Reportar Aviso.,,20.0,PERFORACIONES:20.0
