Unnamed: 0,CS.4A1-3B2,SILO POLVOS BY-PASS Nº 1.,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,_computed_score,_computed_matches
,CS.4A1-3B3,TOLVA PESON POLVOS,,,,,,,,,,,,,,,,0.0,
,CS.411-3B1,TOLVA PESON CAUDALIMETRO. (PFISTER),x,,,,,,,,,,,,,,,0.0,
,CS.541-3B2,TOLVA PESON CENIZA MOLINO Nº 1.,,x,,,,,,,,,,,,,,0.0,
,CS.542-3B2,TOLVA PESON CENIZA SILO Nº 2.,,,,,,,,,,,,,,,,0.0,
,CS.L21-3B1,SILO Nº1 50 M3. CARBON BRUTO.,,x,,,,,,,,,,,,,,0.0,
,CS.L21-3B2,SILO Nº 2 DE 50 M3 CARBON BRUTO.,,x,,,,,,,,,,,,,,0.0,
,CS.L91-3B1,SILO 10 M3 DE CARBON.,,x,,,,,,,,,,,,,,0.0,
,CS.T21-3B2,TOLVA ESCORIA RECHAZO 15T,,,x,,,,,,,,,,,,,0.0,
,CS.T61-3B1,TOLVA MOLINO ESCORIA 21T,,,x,,,,,,,,,,,,,0.0,
,CS.T61-3B2,TOLVA DE METALES RECIR MOLINO ESCORIA,,,x,,,,,,,,,,,,,0.0,
,CS.T91-3B2,TOLVA ESCORIA 70 m3,x,,,,,,,,,,,,,,,0.0,
,CS.311-TL1,TOLVA ACOPIO DE CALIZA,,,,,,,,,,,,,,,,0.0,
,CS.311-TL3,TOLVA ACOPIO DE PIRITA,,,,,,,,,,,,,,,,0.0,
,CS.481-3B1,TOLVÍN PFISTER QUEMADOR,,,x,,,,,,,,,,,,,0.0,
,CS.511-TL1,TOLVA  CAMIONES RAMALES DE CLINKER,,,,,,,,,,,,,,,,0.0,
,CS.511-TL4,TOLVA CLINKER CARGA A CAMIONES,,,,,,,,,,,,,,,,0.0,
,CS.L52-3B1,DEPOSITO DE GASOIL CALDERA ATECMA,,,x,,,,,,,,,,,,,0.0,
,CS.L52-3B2,DEPOSITO DE ACEITE TERMICO,,,x,,,,,,,,,,,,,0.0,
,CS.L52-3B3,DEPOSITO DE EXPANSIÓN DE ACEITE TÉRMICO,,,x,,,,,,,,,,,,,0.0,
,CS.V13-3S2,SILO Nº2 SOLIDOS FINOS,,x,,,,,,,,,,,,,,0.0,
